Date,ClientName,Side,Symbol,OrdType,TaskQty,ClOrdID,StartTime,EndTime,CancelFlag,OrderCount,CancelledCount,FilledQty,AvgPx,Status,TWAP,VWAP,BasketID,Fee,OtherFee,CumVolPercentage(%),Pnl,CumQtyBuy,CumQtySell,AvgPxBuy,AvgPxSell,EodPrice
2022-06-14,ruifeng6,B,002195.SZ,"TWAP_Plus	",300,"20838447148000218	","130551000	","131551000	",2,2,1,300,2.2,0,2.20385,2.201716,,-0.099,-0.058542,0.0122,null,null,null,null,null,null
2022-06-14,ruizeng8,S,002372.SZ,"TWAP_Plus	",100,"20838447148000220	","130551000	","131551000	",2,1,0,100,20.16,0,20.172325,20.174572,,-0.3024,-2.194819,0.0303,null,null,null,null,null,null
2022-06-14,ruizeng8,S,600383.SH,"TWAP_Plus	",200,"20838447148000221	","130551000	","131551000	",2,1,0,200,11.53,0,11.517875,11.519079,,-0.3459,-2.510542,0.0157,null,null,null,null,null,null
2022-06-14,ruizeng8,B,300369.SZ,"TWAP_Plus	",100,"20838447148000223	","130551000	","131551000	",2,1,0,100,9.99,0,9.993025,10.003569,,-0.14985,-0.088611,0.0270,null,null,null,null,null,null
2022-06-14,ruizeng8,S,000338.SZ,"TWAP_Plus	",100,"20838447148000225	","130551000	","131551000	",2,1,0,100,12.54,0,12.52765,12.535677,,-0.1881,-1.36523,0.0022,null,null,null,null,null,null
2022-06-14,ruizeng8,B,002195.SZ,"TWAP_Plus	",100,"20838447148000227	","130551000	","131551000	",2,2,1,100,2.2,0,2.20385,2.201716,,-0.033,-0.019514,0.0041,null,null,null,null,null,null
2022-06-14,ruifeng6,B,603588.SH,"TWAP_Plus	",200,"20838447148000229	","130551000	","131551000	",2,1,0,200,14.41,0,14.410575,14.391654,,-0.4323,-0.255633,0.0425,null,null,null,null,null,null
2022-06-14,ruifeng6,S,002497.SZ,"TWAP_Plus	",100,"20838447148000231	","130551000	","131551000	",0,0,0,0,0.0,0,31.996075,32.000418,,0.0,0.0,0.0000,null,null,null,null,null,null
2022-06-14,ruifeng6,B,002145.SZ,"TWAP_Plus	",300,"20838447148000233	","130551000	","131551000	",2,1,0,300,7.34,0,7.33615,7.332989,,-0.3303,-0.195317,0.0180,null,null,null,null,null,null
2022-06-14,ruizeng8,S,601901.SH,"TWAP_Plus	",100,"20838447148000252	","130551000	","131551000	",2,1,0,100,6.54,0,6.543555,6.546942,,-0.0981,-0.71201,0.0133,null,null,null,null,null,null
2022-06-14,ruizeng8,S,600050.SH,"TWAP_Plus	",100,"20838447148000253	","130551000	","131551000	",2,2,1,100,3.42,0,3.425,3.42149,,-0.0513,-0.372335,0.0048,null,null,null,null,null,null
2022-06-14,ruizeng8,S,000750.SZ,"TWAP_Plus	",100,"20838447148000254	","130551000	","131551000	",2,2,1,100,3.56,0,3.56405,3.562527,,-0.0534,-0.387577,0.0118,null,null,null,null,null,null
2022-06-14,ruifeng6,S,601901.SH,"TWAP_Plus	",400,"20838447148000255	","130551000	","131551000	",2,1,0,400,6.54,0,6.543555,6.546942,,-0.3924,-2.848039,0.0532,null,null,null,null,null,null
2022-06-14,ruifeng6,S,600050.SH,"TWAP_Plus	",100,"20838447148000256	","130551000	","131551000	",2,2,1,100,3.42,0,3.425,3.42149,,-0.0513,-0.372335,0.0048,null,null,null,null,null,null
2022-06-14,ruifeng6,S,000750.SZ,"TWAP_Plus	",300,"20838447148000257	","130551000	","131551000	",2,2,1,300,3.56,0,3.56405,3.562527,,-0.1602,-1.162732,0.0353,null,null,null,null,null,null
2022-06-14,ruifeng6,S,600176.SH,"TWAP_Plus	",100,"20838447148000258	","130551000	","131551000	",2,1,0,100,16.45,0,16.454193,16.4551,,-0.24675,-1.790912,0.0100,null,null,null,null,null,null
2022-06-14,ruifeng6,S,000883.SZ,"TWAP_Plus	",800,"20838447148000259	","130551000	","131551000	",0,0,0,0,0.0,0,5.369425,5.374562,,0.0,0.0,0.0000,null,null,null,null,null,null
2022-06-14,ruifeng6,S,601155.SH,"TWAP_Plus	",100,"20838447148000260	","130551000	","131551000	",2,1,0,100,23.64,0,23.648875,23.656995,,-0.3546,-2.573687,0.0341,null,null,null,null,null,null
2022-06-14,ruifeng6,S,600497.SH,"TWAP_Plus	",100,"20838447148000261	","130551000	","131551000	",2,1,0,100,5.63,0,5.6394,5.64124,,-0.08445,-0.612938,0.0043,null,null,null,null,null,null
2022-06-14,ruifeng6,S,600094.SH,"TWAP_Plus	",500,"20838447148000262	","130551000	","131551000	",2,1,0,500,3.62,0,3.622367,3.628899,,-0.2715,-1.970547,0.0585,null,null,null,null,null,null
2022-06-14,ruizeng8,S,600497.SH,"TWAP_Plus	",100,"20838447148000263	","130551000	","131551000	",2,1,0,100,5.63,0,5.6394,5.64124,,-0.08445,-0.612938,0.0043,null,null,null,null,null,null
2022-06-14,ruifeng6,B,600075.SH,"TWAP_Plus	",100,"20838447148000264	","130551000	","131551000	",2,1,0,100,6.84,0,6.840275,6.840597,,-0.1026,-0.060671,0.0150,null,null,null,null,null,null
2022-06-14,ruifeng6,B,300476.SZ,"TWAP_Plus	",100,"20838447148000265	","130551000	","131551000	",2,1,0,100,16.34,0,16.346525,16.340125,,-0.2451,-0.144936,0.0209,null,null,null,null,null,null
